regime,budget,method,accuracy_mean,accuracy_std,n_seeds,episodes_per_seed,encoder_cue_accuracy
aligned,2,recent,0.3333333333333333,0.0,5,400,1.0
aligned,2,semantic,0.3333333333333333,0.0,5,400,1.0
aligned,2,decision_aware,0.3333333333333333,0.0,5,400,1.0
aligned,4,recent,0.6666666666666666,0.0,5,400,1.0
aligned,4,semantic,0.6666666666666666,0.0,5,400,1.0
aligned,4,decision_aware,0.6666666666666666,0.0,5,400,1.0
aligned,6,recent,1.0,0.0,5,400,1.0
aligned,6,semantic,1.0,0.0,5,400,1.0
aligned,6,decision_aware,1.0,0.0,5,400,1.0
confounded,2,recent,0.26475,0.0047842333648024414,5,400,1.0
confounded,2,semantic,0.3333333333333333,0.0,5,400,1.0
confounded,2,decision_aware,0.3333333333333333,0.0,5,400,1.0
confounded,4,recent,0.3333333333333333,0.0,5,400,1.0
confounded,4,semantic,0.3333333333333333,0.0,5,400,1.0
confounded,4,decision_aware,0.6666666666666666,0.0,5,400,1.0
confounded,6,recent,0.3333333333333333,0.0,5,400,1.0
confounded,6,semantic,0.3333333333333333,0.0,5,400,1.0
confounded,6,decision_aware,1.0,0.0,5,400,1.0
